country,5,count,mean,std,min,25%,50%,75%,max,Both Sides,Left,Right,No,Yes
CH,Female,32.0,48.375,13.841848655203119,31.0,36.5,46.5,61.5,74.0,0.09090909090909091,0.0,0.9090909090909091,0.696969696969697,0.30303030303030304
CH,Male,78.0,49.93589743589744,13.950133587397188,21.0,39.25,50.0,59.0,78.0,0.175,0.125,0.7,0.7125,0.2875
DE,Female,414.0,44.35748792270532,13.79538223152576,8.0,33.0,46.0,55.0,79.0,0.1308411214953271,0.10514018691588785,0.764018691588785,0.7429906542056075,0.2570093457943925
DE,Male,851.0,49.148061104582844,13.82773616369407,10.0,39.0,50.0,58.0,87.0,0.1313364055299539,0.10599078341013825,0.7626728110599078,0.7926267281105991,0.2073732718894009
GB,Female,91.0,41.81318681318681,12.33325413299983,17.0,31.5,42.0,51.0,70.0,0.15384615384615385,0.08791208791208792,0.7582417582417582,0.7472527472527473,0.25274725274725274
GB,Male,106.0,46.12264150943396,13.129902498596152,13.0,37.0,46.0,57.0,71.0,0.07547169811320754,0.1320754716981132,0.7924528301886793,0.7850467289719626,0.21495327102803738
NL,Female,25.0,50.76,12.06675874734664,29.0,43.0,47.0,61.0,73.0,0.14705882352941177,0.058823529411764705,0.7941176470588235,0.7352941176470589,0.2647058823529412
NL,Male,95.0,45.78947368421053,14.119471041296208,18.0,34.0,50.0,57.0,73.0,0.08088235294117647,0.13970588235294118,0.7794117647058824,0.7352941176470589,0.2647058823529412
US,Female,242.0,47.71487603305785,13.19048545035791,12.0,38.25,49.0,57.0,84.0,0.08870967741935484,0.14919354838709678,0.7620967741935484,0.6963562753036437,0.30364372469635625
US,Male,284.0,51.58450704225352,12.681052312091442,16.0,43.0,54.0,60.0,81.0,0.1284722222222222,0.11458333333333333,0.7569444444444444,0.7894736842105263,0.21052631578947367
all,Female,1102.0,44.45825771324864,13.597415868683004,8.0,33.0,45.0,55.0,84.0,0.1344463971880492,0.11247803163444639,0.7530755711775043,0.7274909963985594,0.2725090036014406
all,Male,2231.0,47.154639175257735,13.952219063977225,1.0,37.0,48.0,57.0,114.0,0.15703192407247626,0.12942191544434858,0.7135461604831751,0.7818428184281843,0.2181571815718157
