country,5,count,mean,std,min,25%,50%,75%,max,Both Sides,Left,Right,No,Yes
CH,Female,32,48.375,13.84184866,31,36.5,46.5,61.5,74,0.090909091,0,0.909090909,0.696969697,0.303030303
CH,Male,78,49.93589744,13.95013359,21,39.25,50,59,78,0.175,0.125,0.7,0.7125,0.2875
DE,Female,414,44.35748792,13.79538223,8,33,46,55,79,0.130841121,0.105140187,0.764018692,0.742990654,0.257009346
DE,Male,851,49.1480611,13.82773616,10,39,50,58,87,0.131336406,0.105990783,0.762672811,0.792626728,0.207373272
GB,Female,91,41.81318681,12.33325413,17,31.5,42,51,70,0.153846154,0.087912088,0.758241758,0.747252747,0.252747253
GB,Male,106,46.12264151,13.1299025,13,37,46,57,71,0.075471698,0.132075472,0.79245283,0.785046729,0.214953271
NL,Female,25,50.76,12.06675875,29,43,47,61,73,0.147058824,0.058823529,0.794117647,0.735294118,0.264705882
NL,Male,95,45.78947368,14.11947104,18,34,50,57,73,0.080882353,0.139705882,0.779411765,0.735294118,0.264705882
US,Female,242,47.71487603,13.19048545,12,38.25,49,57,84,0.088709677,0.149193548,0.762096774,0.696356275,0.303643725
US,Male,284,51.58450704,12.68105231,16,43,54,60,81,0.128472222,0.114583333,0.756944444,0.789473684,0.210526316
all,Female,1102,44.45825771,13.59741587,8,33,45,55,84,0.134446397,0.112478032,0.753075571,0.727490996,0.272509004
all,Male,2231,47.15463918,13.95221906,1,37,48,57,114,0.157031924,0.129421915,0.71354616,0.781842818,0.218157182
