,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_max_features,param_min_samples_leaf,param_random_state,param_subsample,param_verbose,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
995,37.26615572,2.066382197,0.13120203,0.002563403,0.5,10,0.75,1,42,1,1,"{'learning_rate': 0.5, 'max_depth': 10, 'max_features': 0.75, 'min_samples_leaf': 1, 'random_state': 42, 'subsample': 1, 'verbose': 1}",-0.080523384,-0.080855978,-0.082103836,-0.08180798,-0.082025803,-0.081463396,0.000647732,1
999,39.30601883,0.596516191,0.184716511,0.004184359,0.5,10,0.75,2,42,1,1,"{'learning_rate': 0.5, 'max_depth': 10, 'max_features': 0.75, 'min_samples_leaf': 2, 'random_state': 42, 'subsample': 1, 'verbose': 1}",-0.081133956,-0.082653364,-0.082905453,-0.081283115,-0.081802363,-0.08195565,0.000712729,2
979,34.72524824,0.358722486,0.176400566,0.034777597,0.5,10,0.5,1,42,1,1,"{'learning_rate': 0.5, 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 1, 'random_state': 42, 'subsample': 1, 'verbose': 1}",-0.081829303,-0.08341073,-0.082471093,-0.082694975,-0.081848784,-0.082450977,0.000588249,3
983,24.09350667,0.068885577,0.138199234,0.002225987,0.5,10,0.5,2,42,1,1,"{'learning_rate': 0.5, 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 2, 'random_state': 42, 'subsample': 1, 'verbose': 1}",-0.083198123,-0.083141054,-0.083251897,-0.081858883,-0.082678038,-0.082825599,0.000524658,4
1003,41.42913861,0.922718175,0.130506086,0.005257959,0.5,10,0.75,3,42,1,1,"{'learning_rate': 0.5, 'max_depth': 10, 'max_features': 0.75, 'min_samples_leaf': 3, 'random_state': 42, 'subsample': 1, 'verbose': 1}",-0.084176237,-0.08352015,-0.083145526,-0.082061757,-0.081449097,-0.082870553,0.000987632,5
739,44.95150814,1.346748827,0.174399996,0.005426139,0.3,10,0.75,1,42,1,1,"{'learning_rate': 0.3, 'max_depth': 10, 'max_features': 0.75, 'min_samples_leaf': 1, 'random_state': 42, 'subsample': 1, 'verbose': 1}",-0.083622757,-0.083342857,-0.08440505,-0.084444745,-0.082845073,-0.083732097,0.000618225,6
987,24.49302301,0.150064689,0.145201874,0.012007955,0.5,10,0.5,3,42,1,1,"{'learning_rate': 0.5, 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 3, 'random_state': 42, 'subsample': 1, 'verbose': 1}",-0.083039009,-0.084007931,-0.083842333,-0.083874537,-0.084112378,-0.083775238,0.00038058,7
723,30.65050774,0.823196702,0.191400671,0.01880953,0.3,10,0.5,1,42,1,1,"{'learning_rate': 0.3, 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 1, 'random_state': 42, 'subsample': 1, 'verbose': 1}",-0.083571518,-0.08338667,-0.085549387,-0.083507958,-0.082962522,-0.083795611,0.000902215,8
743,42.12920923,0.323979138,0.163514328,0.004487048,0.3,10,0.75,2,42,1,1,"{'learning_rate': 0.3, 'max_depth': 10, 'max_features': 0.75, 'min_samples_leaf': 2, 'random_state': 42, 'subsample': 1, 'verbose': 1}",-0.083354643,-0.085328283,-0.085075829,-0.083942895,-0.083739795,-0.084288289,0.000773776,9
738,34.68680716,0.681192504,0.196411753,0.02161092,0.3,10,0.75,1,42,0.75,1,"{'learning_rate': 0.3, 'max_depth': 10, 'max_features': 0.75, 'min_samples_leaf': 1, 'random_state': 42, 'subsample': 0.75, 'verbose': 1}",-0.084606657,-0.084750818,-0.085240492,-0.083758322,-0.084755448,-0.084622347,0.000482309,10
727,31.44799128,0.885912545,0.191999054,0.0246174,0.3,10,0.5,2,42,1,1,"{'learning_rate': 0.3, 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 2, 'random_state': 42, 'subsample': 1, 'verbose': 1}",-0.084796045,-0.084209676,-0.085454078,-0.083389329,-0.085563435,-0.084682513,0.000809954,11
994,34.29165492,0.228750909,0.140745449,0.00170756,0.5,10,0.75,1,42,0.75,1,"{'learning_rate': 0.5, 'max_depth': 10, 'max_features': 0.75, 'min_samples_leaf': 1, 'random_state': 42, 'subsample': 0.75, 'verbose': 1}",-0.085061154,-0.085489919,-0.084160047,-0.084816808,-0.083931637,-0.084691913,0.000574396,12
742,34.54723697,0.486690782,0.183307314,0.006018675,0.3,10,0.75,2,42,0.75,1,"{'learning_rate': 0.3, 'max_depth': 10, 'max_features': 0.75, 'min_samples_leaf': 2, 'random_state': 42, 'subsample': 0.75, 'verbose': 1}",-0.084428289,-0.084597226,-0.08520775,-0.085212587,-0.084688485,-0.084826867,0.000323914,13
998,28.42481546,0.702928772,0.188409424,0.004597778,0.5,10,0.75,2,42,0.75,1,"{'learning_rate': 0.5, 'max_depth': 10, 'max_features': 0.75, 'min_samples_leaf': 2, 'random_state': 42, 'subsample': 0.75, 'verbose': 1}",-0.085843261,-0.085438355,-0.085041403,-0.08428338,-0.084805669,-0.085082414,0.000533349,14
747,52.65764589,1.197815669,0.195399237,0.024572453,0.3,10,0.75,3,42,1,1,"{'learning_rate': 0.3, 'max_depth': 10, 'max_features': 0.75, 'min_samples_leaf': 3, 'random_state': 42, 'subsample': 1, 'verbose': 1}",-0.085778177,-0.085136574,-0.085996149,-0.084589145,-0.084299777,-0.085159964,0.000655392,15
978,28.23703837,0.315158914,0.242601442,0.004841231,0.5,10,0.5,1,42,0.75,1,"{'learning_rate': 0.5, 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 1, 'random_state': 42, 'subsample': 0.75, 'verbose': 1}",-0.086022806,-0.085264385,-0.085068308,-0.084378336,-0.085149502,-0.085176667,0.00052411,16
746,42.17511539,1.414784969,0.231609106,0.023991097,0.3,10,0.75,3,42,0.75,1,"{'learning_rate': 0.3, 'max_depth': 10, 'max_features': 0.75, 'min_samples_leaf': 3, 'random_state': 42, 'subsample': 0.75, 'verbose': 1}",-0.085117828,-0.084996329,-0.085648782,-0.084744696,-0.085842132,-0.085269954,0.000411049,17
963,14.51612911,0.459617452,0.16100235,0.006982306,0.5,10,0.25,1,42,1,1,"{'learning_rate': 0.5, 'max_depth': 10, 'max_features': 0.25, 'min_samples_leaf': 1, 'random_state': 42, 'subsample': 1, 'verbose': 1}",-0.086124293,-0.085238494,-0.086081278,-0.084522954,-0.084834773,-0.085360358,0.000647404,18
722,24.4965672,0.711158756,0.185411739,0.005918988,0.3,10,0.5,1,42,0.75,1,"{'learning_rate': 0.3, 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 1, 'random_state': 42, 'subsample': 0.75, 'verbose': 1}",-0.086211642,-0.085768122,-0.085515573,-0.084748034,-0.084941053,-0.085436885,0.000536008,19
731,30.73767858,0.555066085,0.186731863,0.01127184,0.3,10,0.5,3,42,1,1,"{'learning_rate': 0.3, 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 3, 'random_state': 42, 'subsample': 1, 'verbose': 1}",-0.085323356,-0.086387532,-0.086387883,-0.085698252,-0.085952193,-0.085949843,0.000409693,20
726,26.22146358,0.783759743,0.212803888,0.02909624,0.3,10,0.5,2,42,0.75,1,"{'learning_rate': 0.3, 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 2, 'random_state': 42, 'subsample': 0.75, 'verbose': 1}",-0.086262519,-0.087187487,-0.086342251,-0.086304134,-0.084196176,-0.086058513,0.000992506,21
1002,37.09482088,0.763567883,0.137402296,0.002246174,0.5,10,0.75,3,42,0.75,1,"{'learning_rate': 0.5, 'max_depth': 10, 'max_features': 0.75, 'min_samples_leaf': 3, 'random_state': 42, 'subsample': 0.75, 'verbose': 1}",-0.085900692,-0.086625834,-0.086468214,-0.085826105,-0.085768586,-0.086117886,0.000356388,22
982,21.09386358,0.66291396,0.146616077,0.002856383,0.5,10,0.5,2,42,0.75,1,"{'learning_rate': 0.5, 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 2, 'random_state': 42, 'subsample': 0.75, 'verbose': 1}",-0.085678426,-0.086056667,-0.087484069,-0.085814264,-0.085915551,-0.086189795,0.000658878,23
